Make,Model,Model_Submodel,Submodel,Year,Vehicle Type
Lehman Trikes,Sport 5,Sport 5,--,1994,Motorcycle
Yamaha,TY175,TY175,--,1978,Motorcycle
Apollo Choppers,BVT113,BVT113 HT,HT,2006,Motorcycle
Harley-Davidson,JD,JD V Twin 74,V Twin 74,1925,Motorcycle
Moto Guzzi,V7 II,V7 II Stone,Stone,2017,Motorcycle
Honda,CL72,CL72 Scrambler,Scrambler,1962,Motorcycle
California Customs,Violator,Violator R/F 240,R/F 240,2002,Motorcycle
Harley-Davidson,Dyna,Dyna Low Rider FXDL,Low Rider FXDL,2000,Motorcycle
Harley-Davidson,Sportster 883,Sportster 883 Hugger XLH883,Hugger XLH883,2001,Motorcycle
Rucker Performance,Gauntlet,Gauntlet,--,2007,Motorcycle
GAS GAS,MC250,MC250,--,2002,Motorcycle
Kawasaki,Concours 14,Concours 14 ZG1400B,ZG1400B,2009,Motorcycle
United Motors,V2S,V2S 650,650,2007,Motorcycle
Harley-Davidson,STU,STU 2 Stroke 165cc,2 Stroke 165cc,1955,Motorcycle
Carefree Custom Cycles,Beast,Beast 300 ST,300 ST,2009,Motorcycle
BSA,C15,C15 Scrambler,Scrambler,1961,Motorcycle
Coonyz Customz,Cracker,Cracker,--,2008,Motorcycle
MV Agusta,F4,F4 1000S,1000S,2005,Motorcycle
Bourget's Bike Works,Fat Daddy,Fat Daddy 280 ST,280 ST,2004,Motorcycle
Apollo Choppers,Aegis,Aegis ST Chopper,ST Chopper,2010,Motorcycle
California Sidecar-Trike,Ventura,Ventura,--,2017,Motorcycle
KTM,1290,1290 Super Duke,Super Duke,2014,Motorcycle
Can-Am,Spyder F3-T,Spyder F3-T,--,2017,Motorcycle
Honda,Valkyrie 1500,Valkyrie 1500 GL1500C,GL1500C,1997,Motorcycle
Motor-Piper,Motopipe,Motopipe 250 MC,250 MC,1945,Motorcycle
GAS GAS,SM50,SM50,--,2003,Motorcycle
Triumph,Single 350,Single 350 3SW S Valve,3SW S Valve,1941,Motorcycle
KTM,250,250 MX,MX,1980,Motorcycle
Honda,Shadow Spirit 1100,Shadow Spirit 1100 VT1100C,VT1100C,2008,Motorcycle
Ural,Retro Solo,Retro Solo,--,2012,Motorcycle
